"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"JC Tredwell","Kent",2016,"Specsavers County Championship",16,299,61,921,22,41.8636363636364,3.08026755852843,81.5454545454545,1327,1,0,"4/45"
"DM Bess","Yorkshire",2023,"County Championship",11,259.3,39,934,22,42.4545454545455,3.59922928709056,70.7727272727273,1077,1,1,"5/158"
"LJ Hatchett","Sussex",2014,"LV= County Championship",15,246.5,32,974,22,44.2727272727273,3.9459824442944,67.3181818181818,1064,1,1,"5/113"
"SM Curran","Surrey",2017,"Specsavers County Championship",18,284.5,53,991,22,45.0454545454545,3.47922761849035,77.6818181818182,1283,0,0,"3/74"
"AT Thomson","Derbyshire",2022,"County Championship",21,375.5,92,1109,22,50.4090909090909,2.95077605321508,102.5,1678,1,0,"4/103"
"JM Anderson","Lancashire",2019,"Specsavers County Championship",8,126.4,48,234,21,11.1428571428571,1.84736842105263,36.1904761904762,654,1,1,"5/25"
"CT Steel","Surrey",2024,"County Championship",7,105.3,16,312,21,14.8571428571429,2.95734597156398,30.1428571428571,457,1,2,"5/25"
"JP Faulkner","Lancashire",2015,"LV= County Championship",12,162,40,427,21,20.3333333333333,2.6358024691358,46.2857142857143,761,1,1,"5/39"
"BO Coad","Yorkshire",2024,"County Championship",10,175.2,40,448,21,21.3333333333333,2.55513307984791,50.0952380952381,836,1,0,"4/59"
"JH Davey","Somerset",2022,"County Championship",13,159.2,35,449,21,21.3809523809524,2.81799163179916,45.5238095238095,743,0,0,"3/25"
"HJH Brookes","Warwickshire",2018,"Specsavers County Championship",10,142,22,470,21,22.3809523809524,3.30985915492958,40.5714285714286,641,3,0,"4/54"
"NJ Dexter","Middlesex",2015,"LV= County Championship",16,163.2,35,485,21,23.0952380952381,2.96938775510204,46.6666666666667,757,1,1,"5/64"
"SM Curran","Surrey",2015,"LV= County Championship",9,128.2,19,508,21,24.1904761904762,3.95844155844156,36.6666666666667,566,0,2,"5/67"
"TD Groenewald","Somerset",2018,"Specsavers County Championship",10,173,41,509,21,24.2380952380952,2.94219653179191,49.4285714285714,807,1,0,"4/85"
"R Rampaul","Surrey",2016,"Specsavers County Championship",8,128.5,13,510,21,24.2857142857143,3.95860284605433,36.8095238095238,559,1,2,"5/85"
"DY Pennington","Nottinghamshire",2024,"County Championship",8,166.2,36,547,21,26.047619047619,3.28857715430862,47.5238095238095,752,1,0,"4/61"
"DL Lloyd","Glamorgan",2021,"County Championship",20,170.3,24,558,21,26.5714285714286,3.27272727272727,48.7142857142857,735,1,0,"4/11"
"Mohammad Abbas","Leicestershire",2019,"Specsavers County Championship",10,216,66,558,21,26.5714285714286,2.58333333333333,61.7142857142857,1030,1,0,"4/72"
"JT Ball","Nottinghamshire",2017,"Specsavers County Championship",12,149.2,31,559,21,26.6190476190476,3.74330357142857,42.6666666666667,672,0,0,"3/63"
"Mir Hamza","Sussex",2019,"Specsavers County Championship",11,195,48,577,21,27.4761904761905,2.95897435897436,55.7142857142857,907,1,0,"4/51"
"WA Agar","Kent",2023,"County Championship",10,163.4,32,595,21,28.3333333333333,3.63543788187373,46.7619047619048,746,1,1,"5/63"
"J Allenby","Somerset",2016,"Specsavers County Championship",20,243.2,57,598,21,28.4761904761905,2.45753424657534,69.5238095238095,1126,1,0,"4/67"
"RJW Topley","Surrey",2021,"County Championship",11,199.3,46,616,21,29.3333333333333,3.08771929824561,57,910,1,1,"5/66"
"WS Davis","Derbyshire",2016,"Specsavers County Championship",8,149.5,18,631,21,30.047619047619,4.21134593993326,42.8095238095238,640,1,1,"7/146"
