"match_id","balls_per_over","team1","team2","gender","season","date","event","venue","city","toss_winner","toss_decision","player_of_match","umpire1","umpire2","reserve_umpire","match_referee","winner","winner_runs","winner_innings","outcome","winner_wickets","tv_umpire","toss_uncontested","match_number"
692795,6,"Sussex","Yorkshire","male","2014",2014-06-16,"LV= County Championship","Arundel Castle Cricket Club Ground","Arundel","Sussex","bat",NA,"RA Kettleborough","NL Bainton",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692941,6,"Gloucestershire","Glamorgan","male","2014",2014-06-21,"LV= County Championship","County Ground, Bristol","Bristol","Gloucestershire","bat",NA,"RA Kettleborough","SA Garratt",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692797,6,"Somerset","Nottinghamshire","male","2014",2014-06-22,"LV= County Championship","Trent Bridge, Nottingham","Nottingham","Somerset","bat",NA,"P Willey","MJ Saggers",NA,NA,"Nottinghamshire",NA,NA,NA,7,NA,NA,NA
692799,6,"Lancashire","Northamptonshire","male","2014",2014-06-22,"LV= County Championship","Old Trafford, Manchester","Manchester","Lancashire","bat",NA,"NGC Cowley","GD Lloyd",NA,NA,"Lancashire",200,"1",NA,NA,NA,NA,NA
692801,6,"Durham","Sussex","male","2014",2014-06-22,"LV= County Championship","Riverside Ground, Chester-le-Street","Chester-le-Street","Durham","bat",NA,"NGB Cook","NL Bainton",NA,NA,"Durham",309,NA,NA,NA,NA,NA,NA
692803,6,"Warwickshire","Yorkshire","male","2014",2014-06-22,"LV= County Championship","Edgbaston, Birmingham","Birmingham","Warwickshire","bat",NA,"NJ Llong","JH Evans",NA,NA,"Yorkshire",8,"1",NA,NA,NA,NA,NA
692943,6,"Surrey","Leicestershire","male","2014",2014-06-22,"LV= County Championship","Kennington Oval, London","London","Surrey","bat",NA,"AG Wharf","NA Mallender",NA,NA,"Surrey",NA,NA,NA,10,NA,NA,NA
692945,6,"Kent","Derbyshire","male","2014",2014-06-22,"LV= County Championship","St Lawrence Ground, Canterbury","Canterbury","Kent","bat",NA,"RJ Bailey","MJD Bodenham",NA,NA,"Kent",NA,NA,NA,10,NA,NA,NA
692947,6,"Surrey","Hampshire","male","2014",2014-06-28,"LV= County Championship","Kennington Oval, London","London","Surrey","bat",NA,"SC Gale","RA Kettleborough",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692805,6,"Lancashire","Somerset","male","2014",2014-06-29,"LV= County Championship","County Ground, Taunton","Taunton","Lancashire","bat",NA,"RJ Bailey","PJ Hartley",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692807,6,"Middlesex","Northamptonshire","male","2014",2014-06-29,"LV= County Championship","Lord's, London","London","Northamptonshire","field",NA,"NJ Llong","NGB Cook",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692809,6,"Nottinghamshire","Warwickshire","male","2014",2014-06-29,"LV= County Championship","Edgbaston, Birmingham","Birmingham","Warwickshire","field",NA,"MJD Bodenham","JH Evans",NA,NA,"Warwickshire",NA,NA,NA,3,NA,NA,NA
692949,6,"Worcestershire","Glamorgan","male","2014",2014-06-29,"LV= County Championship","County Ground, New Road, Worcester","Worcester","Worcestershire","bat",NA,"GD Lloyd","MR Benson",NA,NA,"Worcestershire",249,NA,NA,NA,NA,NA,NA
692951,6,"Gloucestershire","Essex","male","2014",2014-06-29,"LV= County Championship","County Ground, Chelmsford","Chelmsford","Essex","field",NA,"PK Baldwin","MA Gough",NA,NA,"Essex",NA,NA,NA,10,NA,NA,NA
692813,6,"Sussex","Northamptonshire","male","2014",2014-07-06,"LV= County Championship","County Ground, Hove","Brighton","Northamptonshire","field",NA,"G Sharp","SA Garratt",NA,NA,"Sussex",85,"1",NA,NA,NA,NA,NA
692953,6,"Glamorgan","Surrey","male","2014",2014-07-06,"LV= County Championship","Penrhyn Avenue, Rhos-on-Sea, Colwyn Bay","Colwyn Bay","Glamorgan","bat",NA,"JH Evans","P Willey",NA,NA,"Surrey",NA,NA,NA,9,NA,NA,NA
692815,6,"Yorkshire","Durham","male","2014",2014-07-07,"LV= County Championship","Headingley, Leeds","Leeds","Durham","field",NA,"RA Kettleborough","RK Illingworth",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692955,6,"Hampshire","Gloucestershire","male","2014",2014-07-07,"LV= County Championship","The Rose Bowl, Southampton","Southampton","Gloucestershire","field",NA,"JW Lloyds","M Burns",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692957,6,"Leicestershire","Kent","male","2014",2014-07-07,"LV= County Championship","Grace Road, Leicester","Leicester","Kent","field",NA,"AK Chaudhary","PJ Hartley",NA,NA,"Kent",NA,NA,NA,6,NA,NA,NA
692959,6,"Derbyshire","Essex","male","2014",2014-07-07,"LV= County Championship","Queen's Park, Chesterfield","Chesterfield","Derbyshire","bat",NA,"GD Lloyd","SJ O'Shaughnessy",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692817,6,"Somerset","Northamptonshire","male","2014",2014-07-12,"LV= County Championship","County Ground, Northampton","Northampton","Somerset","bat",NA,"RK Illingworth","JH Evans",NA,NA,"Somerset",52,NA,NA,NA,NA,NA,NA
692819,6,"Lancashire","Nottinghamshire","male","2014",2014-07-13,"LV= County Championship","Aigburth, Liverpool","Liverpool","Nottinghamshire","field",NA,"MA Gough","AG Wharf",NA,NA,"Nottinghamshire",NA,NA,NA,1,NA,NA,NA
692821,6,"Warwickshire","Durham","male","2014",2014-07-13,"LV= County Championship","Riverside Ground, Chester-le-Street","Chester-le-Street","Durham","field",NA,"SC Gale","PJ Hartley",NA,NA,"Warwickshire",188,"1",NA,NA,NA,NA,NA
692961,6,"Worcestershire","Leicestershire","male","2014",2014-07-13,"LV= County Championship","County Ground, New Road, Worcester","Worcester","Worcestershire","bat",NA,"P Willey","MJ Saggers",NA,NA,"Worcestershire",204,NA,NA,NA,NA,NA,NA
692963,6,"Hampshire","Essex","male","2014",2014-07-13,"LV= County Championship","Castle Park Cricket Ground, Colchester","Colchester","Hampshire","bat",NA,"AK Chaudhary","RT Robinson",NA,NA,"Essex",NA,NA,NA,2,NA,NA,NA
692965,6,"Gloucestershire","Derbyshire","male","2014",2014-07-14,"LV= County Championship","College Ground, Cheltenham","Cheltenham","Gloucestershire","bat",NA,"MR Benson","NL Bainton",NA,NA,"Derbyshire",NA,NA,NA,6,NA,NA,NA
692823,6,"Yorkshire","Middlesex","male","2014",2014-07-19,"LV= County Championship","North Marine Road Ground, Scarborough","Scarborough","Middlesex","field",NA,"MJ Saggers","SA Garratt",NA,NA,"Yorkshire",220,NA,NA,NA,NA,NA,NA
692967,6,"Kent","Surrey","male","2014",2014-07-20,"LV= County Championship","Woodbridge Road, Guildford","Guildford","Surrey","field",NA,"PK Baldwin","RJ Bailey",NA,NA,"Kent",89,NA,NA,NA,NA,NA,NA
692969,6,"Glamorgan","Derbyshire","male","2014",2014-07-20,"LV= County Championship","County Ground, Derby","Derby","Derbyshire","field",NA,"RT Robinson","NGB Cook",NA,NA,"Derbyshire",NA,NA,NA,6,NA,NA,NA
692825,6,"Sussex","Warwickshire","male","2014",2014-07-21,"LV= County Championship","Cricket Field Road Ground, Horsham","Horsham","Sussex","bat",NA,"AG Wharf","SJ O'Shaughnessy",NA,NA,"Sussex",226,NA,NA,NA,NA,NA,NA
692971,6,"Worcestershire","Gloucestershire","male","2014",2014-07-21,"LV= County Championship","College Ground, Cheltenham","Cheltenham","Worcestershire","bat",NA,"G Sharp","SC Gale",NA,NA,"Worcestershire",NA,NA,NA,8,NA,NA,NA
692827,6,"Warwickshire","Somerset","male","2014",2014-08-15,"LV= County Championship","County Ground, Taunton","Taunton","Somerset","field",NA,"SJ O'Shaughnessy","MJD Bodenham",NA,NA,"Warwickshire",215,NA,NA,NA,NA,NA,NA
692829,6,"Sussex","Yorkshire","male","2014",2014-08-15,"LV= County Championship","North Marine Road Ground, Scarborough","Scarborough","Yorkshire","field",NA,"PJ Hartley","GD Lloyd",NA,NA,"Yorkshire",NA,NA,NA,9,NA,NA,NA
692831,6,"Northamptonshire","Nottinghamshire","male","2014",2014-08-15,"LV= County Championship","County Ground, Northampton","Northampton","Nottinghamshire","field",NA,"SA Garratt","NGB Cook",NA,NA,"Nottinghamshire",NA,NA,NA,5,NA,NA,NA
692975,6,"Worcestershire","Gloucestershire","male","2014",2014-08-15,"LV= County Championship","County Ground, New Road, Worcester","Worcester","Gloucestershire","field",NA,"P Willey","M Burns",NA,NA,"Gloucestershire",NA,NA,NA,7,NA,NA,NA
692977,6,"Surrey","Leicestershire","male","2014",2014-08-15,"LV= County Championship","Grace Road, Leicester","Leicester","Leicestershire","field",NA,"PR Pollard","NGC Cowley",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
692979,6,"Hampshire","Kent","male","2014",2014-08-15,"LV= County Championship","St Lawrence Ground, Canterbury","Canterbury","Hampshire","bat",NA,"BJ Debenham","MA Gough",NA,NA,"Hampshire",196,NA,NA,NA,NA,NA,NA
692837,6,"Warwickshire","Middlesex","male","2014",2014-08-31,"LV= County Championship","Lord's, London","London","Middlesex","field",NA,"NGC Cowley","GD Lloyd",NA,NA,NA,NA,NA,"draw",NA,NA,NA,NA
