"striker","start_date","batting_team","bowling_team","innings","Runs","BallsFaced","Fours","Sixes","StrikeRate","NotOuts","Average","Hundreds","Fifties","HighScore","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"CP Jewell",2021-03-20,"Tasmania","New South Wales",2,62,111,8,0,55.8558558558559,0,31,0,0,31,"Sheffield Shield","2020/21",1244510,"Bellerive Oval, Hobart","Hobart","Tasmania","New South Wales","New South Wales","field","JM Bird","Tasmania",NA,"298"
"JR Doran",2024-03-21,"Tasmania","Western Australia",2,62,109,9,0,56.8807339449541,0,31,0,0,31,"Sheffield Shield","2023/24",1391800,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","Tasmania","Tasmania","field","SM Whiteman","Western Australia",NA,"377"
"J Edwards",2019-03-03,"New South Wales","Queensland",2,62,103,5,0,60.1941747572816,0,31,0,0,40,"Sheffield Shield","2018/19",1150130,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","New South Wales","Queensland","Queensland","field","MC Henriques","New South Wales",NA,"174"
"BAD Manenti",2024-03-11,"South Australia","Tasmania",2,62,92,7,0,67.3913043478261,0,31,0,0,33,"Sheffield Shield","2023/24",1391797,"Bellerive Oval, Hobart","Hobart","South Australia","Tasmania","Tasmania","field","NA McSweeney","South Australia",NA,"134"
"CJ Sayers",2019-11-01,"South Australia","New South Wales",2,62,77,7,2,80.5194805194805,0,31,0,0,47,"Marsh Sheffield Shield","2019/20",1196121,"Adelaide Oval","Adelaide","New South Wales","South Australia","South Australia","field","CJ Sayers","New South Wales",NA,"96"
"BE Street",2020-11-08,"Queensland","South Australia",2,61,214,7,0,28.5046728971963,0,30.5,0,0,38,"Sheffield Shield","2020/21",1233453,"Gliderol Stadium, Adelaide","Adelaide","Queensland","South Australia","Queensland","bat","MJ Swepson","Queensland",NA,"62"
"BE Street",2023-11-16,"Queensland","Victoria",2,61,207,6,0,29.4685990338164,0,30.5,0,0,46,"Sheffield Shield","2023/24",1391783,"Melbourne Cricket Ground","Melbourne","Victoria","Queensland","Queensland","field","W Sutherland","Victoria",NA,"113"
"JC Silk",2022-11-24,"Tasmania","Victoria",2,61,158,5,0,38.6075949367089,0,30.5,0,0,36,"Sheffield Shield","2022/23",1322410,"Melbourne Cricket Ground","Melbourne","Victoria","Tasmania","Tasmania","field","JM Bird","Tasmania","4",NA
"S Konstas",2024-02-16,"New South Wales","Victoria",2,61,158,9,0,38.6075949367089,0,30.5,0,0,35,"Sheffield Shield","2023/24",1391791,"Sydney Cricket Ground","Sydney","New South Wales","Victoria","Victoria","field","SM Boland",NA,NA,NA
"DP Hughes",2024-02-03,"New South Wales","Western Australia",2,61,150,6,0,40.6666666666667,0,30.5,0,1,59,"Sheffield Shield","2023/24",1391790,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","New South Wales","New South Wales","field","CJ Green","New South Wales","4",NA
"HJ Nielsen",2021-04-03,"South Australia","Victoria",2,61,150,6,0,40.6666666666667,0,30.5,0,0,35,"Sheffield Shield","2020/21",1251084,"Junction Oval, Melbourne","Melbourne","South Australia","Victoria","South Australia","bat","JM Holland",NA,NA,NA
"SE Marsh",2020-03-06,"Western Australia","Queensland",2,61,140,9,0,43.5714285714286,0,30.5,0,0,41,"Marsh Sheffield Shield","2019/20",1196140,"Western Australia Cricket Association Ground, Perth","Perth","Western Australia","Queensland","Queensland","field","SM Whiteman",NA,NA,NA
"MG Neser",2023-02-09,"Queensland","Victoria",2,61,134,8,0,45.5223880597015,0,30.5,0,0,43,"Sheffield Shield","2022/23",1322414,"Melbourne Cricket Ground","Melbourne","Victoria","Queensland","Queensland","field","MS Harris","Victoria",NA,"164"
"JM Carder",2021-03-06,"Western Australia","Queensland",2,61,131,4,0,46.5648854961832,2,Inf,0,1,57,"Sheffield Shield","2020/21",1244505,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","Western Australia","Queensland","Queensland","field","C Green",NA,NA,NA
"CH Stobo",2023-10-15,"Western Australia","Tasmania",1,61,118,8,0,51.6949152542373,0,61,0,1,61,"Sheffield Shield","2023/24",1391775,"Western Australia Cricket Association Ground, Perth","Perth","Tasmania","Western Australia","Tasmania","bat","SM Whiteman",NA,NA,NA
"MS Harris",2020-02-14,"Victoria","New South Wales",2,61,101,5,0,60.3960396039604,1,61,0,1,54,"Marsh Sheffield Shield","2019/20",1196132,"Sydney Cricket Ground","Sydney","Victoria","New South Wales","Victoria","bat","NJ Maddinson","Victoria",NA,"112"
"JA Burns",2019-10-18,"Queensland","South Australia",2,61,95,7,0,64.2105263157895,0,30.5,0,0,39,"Marsh Sheffield Shield","2019/20",1196118,"Brisbane Cricket Ground, Woolloongabba, Brisbane","Brisbane","South Australia","Queensland","South Australia","bat","M Labuschagne","Queensland","4",NA
"MP Stoinis",2020-02-14,"Western Australia","South Australia",2,61,90,9,0,67.7777777777778,0,30.5,0,1,60,"Marsh Sheffield Shield","2019/20",1196133,"Adelaide Oval","Adelaide","South Australia","Western Australia","Western Australia","field","DJ Worrall","South Australia",NA,"109"
"JM Carder",2022-03-23,"South Australia","New South Wales",2,61,87,11,0,70.1149425287356,0,30.5,0,0,46,"Sheffield Shield","2021/22",1270438,"Karen Rolton Oval, Adelaide","Adelaide","New South Wales","South Australia","South Australia","field","JJS Sangha","South Australia","5",NA
"CJ Rocchiccioli",2023-11-15,"Western Australia","South Australia",2,61,75,6,1,81.3333333333333,1,61,0,0,36,"Sheffield Shield","2023/24",1391782,"Western Australia Cricket Association Ground, Perth","Perth","South Australia","Western Australia","Western Australia","field","J Goodwin","Western Australia","2",NA
