"bowler","bowling_team","season","event","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"AL Fekete","Victoria","2019/20","Marsh Sheffield Shield",3,32.4,8,114,4,28.5,3.48979591836735,49,148,0,0,"3/57"
"HNA Conway","New South Wales","2018/19","Sheffield Shield",4,52,13,117,4,29.25,2.25,78,255,0,0,"2/33"
"JS Buckingham","South Australia","2021/22","Sheffield Shield",2,40,10,120,4,30,3,60,193,1,0,"4/79"
"MC Henriques","New South Wales","2022/23","Sheffield Shield",8,36,5,120,4,30,3.33333333333333,54,156,0,0,"2/29"
"NM Lyon","New South Wales","2018/19","Sheffield Shield",2,52.4,9,132,4,33,2.50632911392405,79,233,1,0,"4/88"
"J Nicholas","Western Australia","2019/20","Marsh Sheffield Shield",2,39,8,136,4,34,3.48717948717949,58.5,182,0,0,"2/24"
"JJS Sangha","New South Wales","2020/21","Sheffield Shield",5,34.2,1,140,4,35,4.07766990291262,51.5,125,0,0,"3/19"
"MW Edwards","New South Wales","2022/23","Sheffield Shield",4,55.1,16,152,4,38,2.75528700906344,82.75,271,0,0,"2/56"
"MP Kuhnemann","Queensland","2022/23","Sheffield Shield",4,59,11,153,4,38.25,2.59322033898305,88.5,269,0,0,"2/55"
"SNJ O'Keefe","New South Wales","2019/20","Marsh Sheffield Shield",4,52,8,157,4,39.25,3.01923076923077,78,223,0,0,"2/69"
"SM Elliott","Victoria","2022/23","Sheffield Shield",3,43.1,6,169,4,42.25,3.91505791505792,64.75,193,0,0,"3/45"
"GS Sandhu","New South Wales","2017/18","Sheffield Shield",3,59,10,173,4,43.25,2.93220338983051,88.5,272,0,0,"2/22"
