"bowler","innings","Overs","Maidens","Runs","Wickets","Average","Economy","StrikeRate","DotBalls","FourWickets","FiveWickets","BestBowlinginnings"
"A Shahzad",21,"74.0",1,579,24,24.125,7.82432432432432,18.5,170,0,0,"3/26"
"A Zampa",20,"74.3",1,596,24,24.8333333333333,8,18.625,139,0,0,"3/17"
"ZS Ansari",29,"78.0",0,615,24,25.625,7.88461538461539,19.5,126,0,0,"3/17"
"Qais Ahmad",25,"98.0",0,696,24,29,7.10204081632653,24.5,204,0,0,"3/28"
"S Snater",32,"82.3",1,801,24,33.375,9.70909090909091,20.625,155,0,0,"3/13"
"LM Reece",43,"88.2",0,821,24,34.2083333333333,9.29433962264151,22.0833333333333,119,0,0,"2/9"
"JAR Harris",31,"94.2",0,929,24,38.7083333333333,9.84805653710247,23.5833333333333,180,0,0,"3/32"
"HW Podmore",24,"72.1",0,665,23,28.9130434782609,9.21478060046189,18.8260869565217,158,0,0,"3/13"
"NJ Dexter",36,"93.0",0,676,23,29.3913043478261,7.26881720430108,24.2608695652174,159,0,0,"3/12"
"DA Griffiths",22,"72.4",0,684,23,29.7391304347826,9.41284403669725,18.9565217391304,131,1,0,"4/22"
"JE Poysden",29,"91.4",0,721,23,31.3478260869565,7.86545454545455,23.9130434782609,155,1,0,"4/51"
"ML Revis",28,"81.0",0,766,23,33.304347826087,9.45679012345679,21.1304347826087,157,0,0,"2/18"
"MRJ Watt",33,"121.1",1,1049,23,45.6086956521739,8.65749656121045,31.6086956521739,203,1,0,"4/19"
"Imad Wasim",19,"68.1",2,486,22,22.0909090909091,7.12958435207824,18.5909090909091,149,0,0,"2/21"
"LWP Wells",27,"80.0",0,617,22,28.0454545454545,7.7125,21.8181818181818,130,0,0,"2/19"
"KK Jennings",29,"85.0",0,628,22,28.5454545454545,7.38823529411765,23.1818181818182,163,1,0,"4/37"
"PR Stirling",45,"90.1",0,770,22,35,8.53974121996303,24.5909090909091,129,0,0,"3/26"
"JA Turner",11,"37.0",1,247,21,11.7619047619048,6.67567567567568,10.5714285714286,110,0,0,"3/15"
"DJ Mitchell",17,"47.0",0,392,21,18.6666666666667,8.34042553191489,13.4285714285714,78,0,0,"3/9"
"JA Leaning",31,"63.0",0,476,21,22.6666666666667,7.55555555555556,18,131,0,0,"3/15"
"DMW Rawlins",25,"71.0",0,534,21,25.4285714285714,7.52112676056338,20.2857142857143,149,0,0,"3/21"
"Wahab Riaz",19,"70.4",1,569,21,27.0952380952381,8.05188679245283,20.1904761904762,175,0,0,"3/27"
"CS Delport",35,"74.5",0,597,21,28.4285714285714,7.97772828507795,21.3809523809524,128,0,0,"3/19"
"J Shaw",27,"68.0",1,609,21,29,8.95588235294118,19.4285714285714,175,0,0,"3/32"
"WJ Durston",29,"81.0",1,622,21,29.6190476190476,7.67901234567901,23.1428571428571,160,0,0,"3/14"
"DJ Bravo",21,"76.2",0,635,21,30.2380952380952,8.31877729257642,21.8095238095238,140,0,0,"2/3"
"AD Thomason",20,"58.0",0,637,21,30.3333333333333,10.9827586206897,16.5714285714286,89,0,0,"3/55"
