"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"MJ Waite",2023-08-16,"Northamptonshire","Worcestershire",1,"9.0",0,42,2,4.66666666666667,37,"One-Day Cup",2023,1347538,"County Ground, Northampton","Northampton","Northamptonshire","Worcestershire","Worcestershire","field",NA,"Worcestershire","7",NA
"OJ Hannon-Dalby",2022-08-17,"Nottinghamshire","Warwickshire",2,"7.0",0,42,2,6,18,"Royal London One-Day Cup",2022,1298008,"Mitchells and Butlers' Ground, Birmingham","Birmingham","Warwickshire","Nottinghamshire","Nottinghamshire","field",NA,"Warwickshire",NA,"14"
"OP Stone",2015-08-02,"Worcestershire","Northamptonshire",2,"10.0",1,42,2,4.2,41,"Royal London One-Day Cup",2015,804789,"County Ground, New Road, Worcester","Worcester","Northamptonshire","Worcestershire","Northamptonshire","bat",NA,"Northamptonshire",NA,"21"
"P Sisodiya",2022-08-14,"Essex","Glamorgan",1,"10.0",0,42,2,4.2,26,"Royal London One-Day Cup",2022,1297993,"County Ground, Chelmsford","Chelmsford","Essex","Glamorgan","Essex","bat",NA,"Essex",NA,"103"
"PD Collingwood",2014-07-29,"Kent","Durham",2,"10.0",1,42,2,4.2,33,"Royal London One-Day Cup",2014,693305,"St Lawrence Ground, Canterbury","Canterbury","Durham","Kent","Durham","bat",NA,"Kent","2",NA
"RH Patel",2017-05-07,"Kent","Middlesex",1,"10.0",0,42,2,4.2,32,"Royal London One-Day Cup",2017,1068467,"St Lawrence Ground, Canterbury","Canterbury","Kent","Middlesex","Middlesex","field",NA,"Kent",NA,"46"
"RS Bopara",2018-05-30,"Glamorgan","Essex",1,"9.0",1,42,2,4.66666666666667,25,"Royal London One-Day Cup",2018,1127805,"County Ground, Chelmsford","Chelmsford","Glamorgan","Essex","Essex","field",NA,"Essex","9",NA
"SG Borthwick",2024-08-02,"Northamptonshire","Durham",1,"10.0",0,42,2,4.2,35,"One-Day Cup",2024,1415108,"Riverside Ground, Chester-le-Street","Chester-le-Street","Northamptonshire","Durham","Northamptonshire","bat",NA,"Durham","4",NA
"SJ Mullaney",2018-06-03,"Durham","Nottinghamshire",2,"10.0",0,42,2,4.2,28,"Royal London One-Day Cup",2018,1127819,"Riverside Ground, Chester-le-Street","Chester-le-Street","Nottinghamshire","Durham","Durham","field",NA,"Nottinghamshire",NA,"31"
"SR Patel",2019-04-23,"Warwickshire","Nottinghamshire",2,"7.0",1,42,2,6,22,"Royal London One-Day Cup",2019,1167073,"Edgbaston, Birmingham","Birmingham","Nottinghamshire","Warwickshire","Nottinghamshire","bat",NA,"Nottinghamshire",NA,"118"
"ST Finn",2018-05-30,"Hampshire","Middlesex",2,"9.0",0,42,2,4.66666666666667,30,"Royal London One-Day Cup",2018,1127807,"Merchant Taylors' School Ground, Northwood","Northwood","Middlesex","Hampshire","Middlesex","bat",NA,"Hampshire","5",NA
