"striker","start_date","batting_team","bowling_team","innings","RunsScored","BallsFaced","Fours","Sixes","StrikeRate","NotOut","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"J Rasu",2018-08-25,"Vanuatu","Samoa",2,52,31,4,4,167.741935483871,FALSE,"ICC World Twenty20 East Asia-Pacific Region Qualifier A","2018",1155275,"Albert Park 2","Suva","Samoa","Vanuatu","Vanuatu","field","BF Mailata","Samoa",NA,"17"
"M Beitaki",2018-08-25,"Fiji","Vanuatu",2,52,31,6,3,167.741935483871,FALSE,"ICC World Twenty20 East Asia-Pacific Region Qualifier A","2018",1155272,"Albert Park 1","Suva","Fiji","Vanuatu","Fiji","field","M Beitaki","Fiji","3",NA
"Muhammad Usman",2018-04-23,"United Arab Emirates","Bahrain",1,52,33,2,4,157.575757575758,FALSE,"ICC World Twenty20 Asia Region Qualifier A","2018",1142216,"Sulabiya Ground","Kuwait City","United Arab Emirates","Bahrain","Bahrain","field","Qadeer Ahmed","United Arab Emirates",NA,"51"
"PR Stirling",2013-11-15,"Ireland","Namibia",1,52,36,4,2,144.444444444444,FALSE,"ICC World Twenty20 Qualifier","2013/14",660093,"Sheikh Zayed Stadium","Abu Dhabi","Ireland","Namibia","Namibia","field","PR Stirling","Ireland",NA,"32"
"LJ Barker",2018-08-29,"Guernsey","Gibraltar",2,52,37,8,1,140.540540540541,TRUE,"ICC World Twenty20 Europe Region Qualifier C","2018",1156665,"Hazelaarweg","Rotterdam","Gibraltar","Guernsey","Guernsey","field","LJ Barker","Guernsey","10",NA
"P Khadka",2018-10-06,"Nepal","Malaysia",2,52,37,5,2,140.540540540541,TRUE,"ICC World Twenty20 Asia Region Qualifier B","2018/19",1160951,"Bayuemas Oval","Kuala Lumpur","Malaysia","Nepal","Malaysia","bat","S Lamichhane","Nepal","8",NA
"JK Chandubhai",2018-07-10,"Tanzania","Kenya",1,52,38,7,3,136.842105263158,FALSE,"ICC World Twenty20 Africa Region Qualifier B","2018",1151247,"Gahanga International Cricket Stadium. Rwanda",NA,"Tanzania","Kenya","Tanzania","bat","RR Patel","Kenya","7",NA
"G Malla",2015-07-10,"Nepal","United States of America",2,52,43,6,1,120.93023255814,FALSE,"ICC World Twenty20 Qualifier","2015",875465,"Civil Service Cricket Club, Stormont","Belfast","Nepal","United States of America","United States of America","bat","SP Gauchan","Nepal","6",NA
"RD Berrington",2013-11-27,"Scotland","Italy",2,52,44,6,0,118.181818181818,FALSE,"ICC World Twenty20 Qualifier","2013/14",660215,"Sheikh Zayed Stadium Nursery 2","Abu Dhabi","Italy","Scotland","Italy","bat","CS MacLeod","Scotland","7",NA
"AJ Michael",2018-08-26,"Samoa","Fiji",2,52,57,3,0,91.2280701754386,FALSE,"ICC World Twenty20 East Asia-Pacific Region Qualifier A","2018",1155276,"Albert Park 1","Suva","Fiji","Samoa","Samoa","field","AJ Michael","Fiji",NA,"9"
"B Bhandari",2013-11-19,"Nepal","Papua New Guinea",2,51,23,1,6,221.739130434783,TRUE,"ICC World Twenty20 Qualifier","2013/14",660151,"Sharjah Cricket Stadium",NA,"Nepal","Papua New Guinea","Papua New Guinea","bat","B Bhandari","Nepal","7",NA
"RR Patel",2018-07-08,"Kenya","Rwanda",1,51,23,5,3,221.739130434783,FALSE,"ICC World Twenty20 Africa Region Qualifier B","2018",1151246,"Gahanga International Cricket Stadium. Rwanda",NA,"Kenya","Rwanda","Kenya","bat","CO Obuya","Kenya",NA,"123"
"S Chohan",2018-09-25,"Panama","Belize",1,51,24,9,1,212.5,TRUE,"ICC World Twenty20 Americas Sub Regional Qualifier A","2018/19",1157698,"Church Street Park","Morrisville","Panama","Belize","Panama","bat","S Chohan","Panama",NA,"9"
"Zeeshan Siddiqui",2015-07-23,"Oman","Namibia",2,51,32,6,2,159.375,TRUE,"ICC World Twenty20 Qualifier","2015",875547,"The Village, Malahide","Dublin","Namibia","Oman","Oman","field","Zeeshan Siddiqui","Oman","5",NA
"TP Ura",2018-08-26,"Papua New Guinea","Vanuatu",1,51,33,6,2,154.545454545455,FALSE,"ICC World Twenty20 East Asia-Pacific Region Qualifier A","2018",1155277,"Albert Park 2","Suva","Papua New Guinea","Vanuatu","Vanuatu","field","A Vala","Papua New Guinea",NA,"81"
"R Gunasekera",2015-07-10,"Canada","Kenya",1,51,38,3,4,134.210526315789,FALSE,"ICC World Twenty20 Qualifier","2015",875463,"Myreside","Edinburgh","Canada","Kenya","Kenya","field","IA Karim","Kenya","7",NA
"KJ Coetzer",2015-07-16,"Scotland","Canada",2,51,41,5,2,124.390243902439,TRUE,"ICC World Twenty20 Qualifier","2015",875511,"Goldenacre","Edinburgh","Scotland","Canada","Scotland","field","KJ Coetzer","Scotland","8",NA
"R Gunasekera",2015-07-17,"Canada","Netherlands",1,51,44,7,1,115.909090909091,FALSE,"ICC World Twenty20 Qualifier","2015",875517,"Goldenacre","Edinburgh","Canada","Netherlands","Netherlands","field","SJ Myburgh","Netherlands","6",NA
"Tamoor Sajjad",2016-09-28,"Qatar","Saudi Arabia",2,51,45,4,1,113.333333333333,FALSE,"Kenya T20 Quadrangular Series","2016",1058157,"Jaffery Sports Club Ground","Nairobi","Qatar","Saudi Arabia","Qatar","field",NA,"Saudi Arabia",NA,"36"
"SF Burger",2015-05-18,"Namibia","Hong Kong",2,51,46,2,1,110.869565217391,TRUE,"Hong Kong tour of Namibia","2015",877507,"Wanderers Cricket Ground","Windhoek","Namibia","Hong Kong","Namibia","field","JJ Atkinson","Hong Kong",NA,"59"
