"bowler","start_date","batting_team","bowling_team","innings","Overs","Maidens","Runs","Wickets","Economy","DotBalls","event","season","match_id","venue","city","team1","team2","toss_winner","toss_decision","player_of_match","winner","winner_wickets","winner_runs"
"A Gardner",2024-03-06,"Royal Challengers Bangalore","Gujarat Giants",2,"4.0",0,23,2,5.75,14,"Women's Premier League","2023/24",1417728,"Arun Jaitley Stadium, Delhi","Delhi","Gujarat Giants","Royal Challengers Bangalore","Gujarat Giants","bat","BL Mooney","Gujarat Giants",NA,"19"
"S Pandey",2024-03-13,"Gujarat Giants","Delhi Capitals",1,"4.0",0,23,2,5.75,14,"Women's Premier League","2023/24",1417735,"Arun Jaitley Stadium, Delhi","Delhi","Gujarat Giants","Delhi Capitals","Gujarat Giants","bat","Shafali Verma","Delhi Capitals","7",NA
"SFM Devine",2023-03-15,"UP Warriorz","Royal Challengers Bangalore",1,"4.0",0,23,2,5.75,13,"Women's Premier League","2022/23",1358941,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","UP Warriorz","Royal Challengers Bangalore","Royal Challengers Bangalore","field","KS Ahuja","Royal Challengers Bangalore","5",NA
"SFM Devine",2024-02-29,"Delhi Capitals","Royal Challengers Bangalore",1,"3.0",0,23,2,7.66666666666667,9,"Women's Premier League","2023/24",1417722,"M Chinnaswamy Stadium, Bengaluru","Bengaluru","Delhi Capitals","Royal Challengers Bangalore","Royal Challengers Bangalore","field","M Kapp","Delhi Capitals",NA,"25"
"TP Kanwar",2024-03-01,"UP Warriorz","Gujarat Giants",2,"3.0",0,23,2,7.66666666666667,10,"Women's Premier League","2023/24",1417723,"M Chinnaswamy Stadium, Bengaluru","Bengaluru","Gujarat Giants","UP Warriorz","UP Warriorz","field","GM Harris","UP Warriorz","6",NA
"TR Sadhu",2024-03-08,"UP Warriorz","Delhi Capitals",1,"3.0",0,23,2,7.66666666666667,10,"Women's Premier League","2023/24",1417730,"Arun Jaitley Stadium, Delhi","Delhi","UP Warriorz","Delhi Capitals","UP Warriorz","bat","DB Sharma","UP Warriorz",NA,"1"
"NR Sciver-Brunt",2023-03-21,"Royal Challengers Bangalore","Mumbai Indians",1,"4.0",0,24,2,6,13,"Women's Premier League","2022/23",1358947,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians","field","AC Kerr","Mumbai Indians","4",NA
"RS Gayakwad",2024-02-24,"Royal Challengers Bangalore","UP Warriorz",1,"4.0",0,24,2,6,11,"Women's Premier League","2023/24",1417717,"M Chinnaswamy Stadium, Bengaluru","Bengaluru","Royal Challengers Bangalore","UP Warriorz","UP Warriorz","field","S Asha","Royal Challengers Bangalore",NA,"2"
"S Ishaque",2023-03-24,"UP Warriorz","Mumbai Indians",2,"2.4",1,24,2,9,9,"Women's Premier League","2022/23",1358949,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Mumbai Indians","UP Warriorz","UP Warriorz","field","NR Sciver-Brunt","Mumbai Indians",NA,"72"
"JL Jonassen",2023-03-20,"Mumbai Indians","Delhi Capitals",1,"4.0",0,25,2,6.25,7,"Women's Premier League","2022/23",1358946,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Mumbai Indians","Delhi Capitals","Delhi Capitals","field","M Kapp","Delhi Capitals","9",NA
"S Ecclestone",2023-03-05,"Gujarat Giants","UP Warriorz",1,"4.0",0,25,2,6.25,12,"Women's Premier League","2022/23",1358931,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Gujarat Giants","UP Warriorz","Gujarat Giants","bat","GM Harris","UP Warriorz","3",NA
"DB Sharma",2023-03-15,"Royal Challengers Bangalore","UP Warriorz",2,"4.0",0,26,2,6.5,12,"Women's Premier League","2022/23",1358941,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","UP Warriorz","Royal Challengers Bangalore","Royal Challengers Bangalore","field","KS Ahuja","Royal Challengers Bangalore","5",NA
"IECM Wong",2023-03-21,"Royal Challengers Bangalore","Mumbai Indians",1,"4.0",0,26,2,6.5,11,"Women's Premier League","2022/23",1358947,"Dr DY Patil Sports Academy, Mumbai","Navi Mumbai","Royal Challengers Bangalore","Mumbai Indians","Mumbai Indians","field","AC Kerr","Mumbai Indians","4",NA
