"match_id","balls_per_over","team1","team2","gender","season","date","event","match_number","venue","city","toss_winner","toss_decision","umpire1","umpire2","reserve_umpire","winner","winner_wickets","player_of_match","winner_runs","tv_umpire","match_referee","method","outcome"
1252290,6,"Western Storm","Sunrisers","female","2021",2021-09-18,"Rachael Heyhoe Flint Trophy",NA,"County Ground, Bristol","Bristol","Western Storm","bat","Tom Lungley","Y Dolphin-Cooper",NA,"Western Storm",NA,NA,36,NA,"SG Hinks",NA,NA
1252291,6,"Northern Diamonds","Southern Vipers","female","2021",2021-09-18,"Rachael Heyhoe Flint Trophy",NA,"The Rose Bowl, Southampton","Southampton","Northern Diamonds","bat","IN Ramage","S McLelland",NA,"Southern Vipers",5,NA,NA,NA,"AJ Swann",NA,NA
1252292,6,"Central Sparks","Northern Diamonds","female","2021",2021-09-22,"Rachael Heyhoe Flint Trophy",NA,"North Marine Road Ground, Scarborough","Scarborough","Central Sparks","bat","Rob White","SM Bartlett",NA,"Northern Diamonds",6,NA,NA,NA,"AW Smith",NA,NA
1252293,6,"Northern Diamonds","Southern Vipers","female","2021",2021-09-25,"Rachael Heyhoe Flint Trophy",NA,"County Ground, Northampton","Northampton","Northern Diamonds","bat","J Naeem","N Pratt","S McLelland","Southern Vipers",3,"E Windsor",NA,NA,"JJ Whitaker",NA,NA
1286902,6,"Thailand","Zimbabwe","female","2021/22",2021-11-21,"ICC Women's Cricket World Cup Qualifier","2","Harare Sports Club","Harare","Thailand","bat","BB Pradhan","Lauren Agenbag","Shiju Sam","Thailand",NA,"C Sutthiruang",8,NA,"ET Dube",NA,NA
1286906,6,"Sri Lanka","Netherlands","female","2021/22",2021-11-23,"ICC Women's Cricket World Cup Qualifier","4","Harare Sports Club","Harare","Netherlands","field","F Mutizwa","Rashid Riaz","VG Rathi","Sri Lanka",NA,NA,34,NA,"ET Dube","D/L",NA
1286907,6,"Pakistan","Thailand","female","2021/22",2021-11-23,"ICC Women's Cricket World Cup Qualifier","6","Takashinga Sports Club, Highfield, Harare","Harare","Pakistan","bat","BB Pradhan","L Rusere","N Janani","Pakistan",NA,NA,52,NA,"ET Dube",NA,NA
1286908,6,"Bangladesh","United States of America","female","2021/22",2021-11-23,"ICC Women's Cricket World Cup Qualifier","5","Sunrise Sports Club, Harare","Harare","United States of America","field","D Odhiambo","I Chabi","Lauren Agenbag","Bangladesh",NA,NA,270,NA,"ET Dube",NA,NA
1286904,6,"Ireland","Netherlands","female","2021/22",2021-11-25,"ICC Women's Cricket World Cup Qualifier","8","Sunrise Sports Club, Harare","Harare","Netherlands","field","I Chabi","Shivani Mishra","F Mutizwa","Ireland",NA,"L Delany",29,NA,"ET Dube",NA,NA
1286910,6,"Bangladesh","Thailand","female","2021/22",2021-11-25,"ICC Women's Cricket World Cup Qualifier","7","Harare Sports Club","Harare","Thailand","field","C Phiri","L Rusere","Asif Yaqoob","Thailand",NA,"S Tippoch",16,NA,"ET Dube","D/L",NA
